# ROTF recovery work-list:  Tag|youtube_url   (Tag = frames dir + spec name)
# Curated per-dungeon from yt-dlp searches. Long raw runs/streams = best for fights+taunts.
# === DUNGEONS WITH DEDICATED FOOTAGE ===
disc_bu4e3kIxXTc|https://youtu.be/bu4e3kIxXTc
disc_wD2H-QuW7dc|https://youtu.be/wD2H-QuW7dc
disc_LuUwzl6KwCY|https://youtu.be/LuUwzl6KwCY
disc_cu6l3YQR608|https://youtu.be/cu6l3YQR608
disc_TbdK1H0XTms|https://youtu.be/TbdK1H0XTms
disc_PwMNqKMKjsE|https://youtu.be/PwMNqKMKjsE
disc_2qqg6xOEDLM|https://youtu.be/2qqg6xOEDLM
disc_XGl3pTaNmTM|https://youtu.be/XGl3pTaNmTM
disc_Z8W1MO1Nv0I|https://youtu.be/Z8W1MO1Nv0I
disc_r97sSXws67I|https://youtu.be/r97sSXws67I
disc_1uD9wcqfVUQ|https://youtu.be/1uD9wcqfVUQ
disc_SkakmmbkDeA|https://youtu.be/SkakmmbkDeA
disc_1qQ4IAKwe28|https://youtu.be/1qQ4IAKwe28
disc_n7RZ1JzWXXw|https://youtu.be/n7RZ1JzWXXw
disc_HvC8zTucCEM|https://youtu.be/HvC8zTucCEM
disc_T2ckGgVNXCk|https://youtu.be/T2ckGgVNXCk
disc_IowKtVGub44|https://youtu.be/IowKtVGub44
disc_NsKbqLJgUfA|https://youtu.be/NsKbqLJgUfA
disc_GhtObBZRRZs|https://youtu.be/GhtObBZRRZs
disc_dGfPcmb49iQ|https://youtu.be/dGfPcmb49iQ
disc_aCAA_5Od6WY|https://youtu.be/aCAA_5Od6WY
disc_NL2OeT909h0|https://youtu.be/NL2OeT909h0
disc_IZ2Z7AUhb8s|https://youtu.be/IZ2Z7AUhb8s
disc_gNVjJ_XMqbI|https://youtu.be/gNVjJ_XMqbI
disc_MszcvkbWED8|https://youtu.be/MszcvkbWED8
disc_Td6IRKQed1g|https://youtu.be/Td6IRKQed1g
disc_vhX_kjkU_9Q|https://youtu.be/vhX_kjkU_9Q
disc_ABxm7xLQd0w|https://youtu.be/ABxm7xLQd0w
disc_DQAnCmzGd-s|https://youtu.be/DQAnCmzGd-s
disc_p-f3qDjrVDY|https://youtu.be/p-f3qDjrVDY
disc_fnAwkbaB_0c|https://youtu.be/fnAwkbaB_0c
disc_SXgeJh2Ao6U|https://youtu.be/SXgeJh2Ao6U
disc_ed9YjhhonUU|https://youtu.be/ed9YjhhonUU
disc_rQseJUyAHU0|https://youtu.be/rQseJUyAHU0
disc_awf8n3A7KOk|https://youtu.be/awf8n3A7KOk
disc__1He_TVKDuw|https://youtu.be/_1He_TVKDuw
disc_DtB0_zeZVEQ|https://youtu.be/DtB0_zeZVEQ
disc_EfO-XlNpe6A|https://youtu.be/EfO-XlNpe6A
disc_LZ_UCPav034|https://youtu.be/LZ_UCPav034
disc_8tIv73n4REo|https://youtu.be/8tIv73n4REo
disc_625kA19cG8E|https://youtu.be/625kA19cG8E

# === channel-expansion 2026-06-04 (ROTF creator channels) ===
disc_v_aeyHctv_A|https://youtu.be/v_aeyHctv_A
disc_zPM0Gytkxp8|https://youtu.be/zPM0Gytkxp8
disc_KhLRNM2XluY|https://youtu.be/KhLRNM2XluY
disc__DeAPr-hsqg|https://youtu.be/_DeAPr-hsqg
disc_WH27QCWX0o0|https://youtu.be/WH27QCWX0o0
disc_lbkuK6UA7F8|https://youtu.be/lbkuK6UA7F8
disc_McIRLo7w4Co|https://youtu.be/McIRLo7w4Co
disc_0kX-it52bNQ|https://youtu.be/0kX-it52bNQ
disc_MehDfEss358|https://youtu.be/MehDfEss358
disc_3tTLXcAYdGA|https://youtu.be/3tTLXcAYdGA
disc_TDLG6WsD15Q|https://youtu.be/TDLG6WsD15Q
disc_CSdIVnAEOrI|https://youtu.be/CSdIVnAEOrI
disc_F7SfPcQ7KT0|https://youtu.be/F7SfPcQ7KT0
disc_52kMPzz6YCk|https://youtu.be/52kMPzz6YCk
disc_LStHnJssEHI|https://youtu.be/LStHnJssEHI
disc_xErBDjGri7s|https://youtu.be/xErBDjGri7s
disc_AAdS1UqpPWc|https://youtu.be/AAdS1UqpPWc
disc_g1Ce99YlFrI|https://youtu.be/g1Ce99YlFrI
disc_1LiQvA6kR48|https://youtu.be/1LiQvA6kR48
disc_R80nqFOcOdQ|https://youtu.be/R80nqFOcOdQ
disc_-xoX7gatTXE|https://youtu.be/-xoX7gatTXE
disc_hJMtXPKMqNo|https://youtu.be/hJMtXPKMqNo
disc_SR7QSCeS0hI|https://youtu.be/SR7QSCeS0hI
disc_n3UDB2jAi0k|https://youtu.be/n3UDB2jAi0k
disc_Lm_R3DQ4ozA|https://youtu.be/Lm_R3DQ4ozA
disc_A1SwQ85jgWg|https://youtu.be/A1SwQ85jgWg
disc_mZGdpXIrEnw|https://youtu.be/mZGdpXIrEnw
disc_rWsv3qfYtM8|https://youtu.be/rWsv3qfYtM8
disc_41Voq7Bf5e8|https://youtu.be/41Voq7Bf5e8
disc_rulrf2OXcPQ|https://youtu.be/rulrf2OXcPQ
disc_hfhcXPoJq1U|https://youtu.be/hfhcXPoJq1U
disc_EMgDk9BDwOE|https://youtu.be/EMgDk9BDwOE
disc_m8KnWYLT4Ac|https://youtu.be/m8KnWYLT4Ac
disc_M0KXJV3pdKc|https://youtu.be/M0KXJV3pdKc
disc_zBtiCVZNmxk|https://youtu.be/zBtiCVZNmxk
disc_7SDqBpBCtIM|https://youtu.be/7SDqBpBCtIM
disc_6TFEryV1Kvs|https://youtu.be/6TFEryV1Kvs
disc_sTTSEekkX1o|https://youtu.be/sTTSEekkX1o
disc_NU8XHOjup-E|https://youtu.be/NU8XHOjup-E
disc_x2rMJdHL4Jc|https://youtu.be/x2rMJdHL4Jc
disc_l8s6Dho3WM4|https://youtu.be/l8s6Dho3WM4
disc_tET7e3TRTc8|https://youtu.be/tET7e3TRTc8
disc_PPtNs-N0kMQ|https://youtu.be/PPtNs-N0kMQ
disc_Fb0zINzmQ1s|https://youtu.be/Fb0zINzmQ1s
disc_41fPtbxrK1c|https://youtu.be/41fPtbxrK1c
disc_s4Ku4oFpNlg|https://youtu.be/s4Ku4oFpNlg
disc__k2I-JV1ztQ|https://youtu.be/_k2I-JV1ztQ
disc_KF5X3ylt3C0|https://youtu.be/KF5X3ylt3C0
disc_EM9Uba-Nv08|https://youtu.be/EM9Uba-Nv08
disc_qX4jc5j4MvY|https://youtu.be/qX4jc5j4MvY
disc_f-3WUcp2jFI|https://youtu.be/f-3WUcp2jFI
disc_vmyeWnZhTdg|https://youtu.be/vmyeWnZhTdg
disc_7jsxZ7pNBDQ|https://youtu.be/7jsxZ7pNBDQ
disc_qheTDTNSp-A|https://youtu.be/qheTDTNSp-A
disc_96dsJTM9uY0|https://youtu.be/96dsJTM9uY0
disc_tT3IkMgb3mk|https://youtu.be/tT3IkMgb3mk
disc_YhHFbXPjaNU|https://youtu.be/YhHFbXPjaNU
disc_55seoqVjso4|https://youtu.be/55seoqVjso4
disc_ZgpUWDff7Ns|https://youtu.be/ZgpUWDff7Ns
disc_ZeJABVT8R7E|https://youtu.be/ZeJABVT8R7E
disc_PE04BhHHyBk|https://youtu.be/PE04BhHHyBk
disc_DFSTBqwKT-E|https://youtu.be/DFSTBqwKT-E
disc_akLcdL1MzZg|https://youtu.be/akLcdL1MzZg
disc_CnZQkLsjBVI|https://youtu.be/CnZQkLsjBVI
disc_n3i45dx58vU|https://youtu.be/n3i45dx58vU
disc_h2kSWfp0nX8|https://youtu.be/h2kSWfp0nX8
disc_5GcUXz4hpMA|https://youtu.be/5GcUXz4hpMA
disc_hp_dAXf_alY|https://youtu.be/hp_dAXf_alY
disc_Rym0QJ7MQfQ|https://youtu.be/Rym0QJ7MQfQ
disc_hGSSP2J3gcQ|https://youtu.be/hGSSP2J3gcQ
disc_AGhkxEr8B-I|https://youtu.be/AGhkxEr8B-I
disc_qyTuKUoeiso|https://youtu.be/qyTuKUoeiso
disc_SMrq4nnpx5Q|https://youtu.be/SMrq4nnpx5Q
disc_V8weUalmEb8|https://youtu.be/V8weUalmEb8
disc_lHWOmAlg-ag|https://youtu.be/lHWOmAlg-ag
disc_HzO8vU8xmgo|https://youtu.be/HzO8vU8xmgo
disc_I0HQJL2IzJA|https://youtu.be/I0HQJL2IzJA
disc_AaMomuk2Vpk|https://youtu.be/AaMomuk2Vpk
disc_wsuYBdiueK0|https://youtu.be/wsuYBdiueK0
disc_179wvlch3jA|https://youtu.be/179wvlch3jA
disc_-9_o5EilupU|https://youtu.be/-9_o5EilupU
disc_zDnBF0EgLNI|https://youtu.be/zDnBF0EgLNI
disc_r0VeSdo4piM|https://youtu.be/r0VeSdo4piM
disc_wwhGYuiu_9U|https://youtu.be/wwhGYuiu_9U
disc_MBGeRlSnKqM|https://youtu.be/MBGeRlSnKqM
disc_eNT1-b_i8ic|https://youtu.be/eNT1-b_i8ic
disc_65DNPf-aCOQ|https://youtu.be/65DNPf-aCOQ
disc_dkyXVJtdX_Q|https://youtu.be/dkyXVJtdX_Q
disc_xdcmYB2Q778|https://youtu.be/xdcmYB2Q778
